Category,Name,Author,KeyWords
History,Seethawaka Rajadhaniye Unnathiye da Awanathiye da Samahara Ansha Pilibada Wimarshanayak,Mahacharya Risiman Amarasingha,"['Seethawaka', ' Wijayaba Kollaya', ' Mayadunne', ' Palaweni Raajasinha', ' Mulleriya satana']"
History,Seethawaka Raajasinhage nonimi mehewara,Neel Ranawaka,"['Sinhala Raajadhani', ' Seethawaka', ' Greeka Dharshanaya', ' Hayawana Parakramabahu', ' Sapumal kumaru']"
History,Seethawaka Yugaye Purawidhyathmaka ha Ithihasika sthana,S.A. Amitha Withana,"['Seethawaka', ' Berendi Koowila', ' Purawidhya natabun', ' Saman Dhewala', ' Paththini Dhewala']"
History,Etha Atheethye Lankawe Landhesi Aakramanikayinge Dhina satahan ha waartha.,Nissanka Perera,"['Landhesi', ' Pruthugrisi', ' Dhina satahan', ' Prabhuu lipi', ' Kerali']"
History,Parangi Kootte,Tikiri Abesingha,"['Parangi', ' Kootte', ' Udarata', ' Dheshapalanaya', ' Yudha katayuthu']"
History,Udarata sansKruthika abhimanaya,G. Ulluwisheewa,"['Udarata', ' Kula Kramaya', ' Jana Saahithya', ' Govithena', ' Edahili ha viswasa']"
History,Amurthapura Wyasanaya,A. K. Thilakarathna,"['Lanka  Ithihasaya', ' Dharmadhweepaya', 'Hela Ithihasaya', ' Piriheema', ' Aagamika']"
History,Wallipuram Ran Sannasa ha Hela Urumaya,Sirisaman Wijethunga,"['Wallipuram Ranpatha', ' Budupilima Nirmanaya', ' Purawidhyawa', ' Mahindhagamanaya', ' Kushtaraajagala']"
History,Lanka Ithihasaye Hela Yugaya,Aacharya Sooriya Gunaseekara,"['Hela Shishtacharaya', ' Asura Adhirajya', ' Raawana', ' Hela Guwanyana', ' Shila lipi']"
History,Lankawe Samaja ha Sanskruthika Ithihasaya,Mahacharya S. B. Hettiarachchi,"['Sanskruthika', ' Perani', ' Samaja Kramaya', ' Kulaya', ' Wiwahaya']"
History,Dheshaye Asahaya Wimukthidhayakaya Maha Wijayabahu,Gunasena Gamage,"['Maha Wijayabahu', ' Solee Adhirajya', ' Keerthi Kumaru', ' Satan', ' Paluttagiri Sangramaya']"
History,Anuradhapura Maha Wiharaya,Wasantha Sanjeewa Hettiarachchi,"['Anuradhapuraya', ' Maha Wiharaya', ' Natabhun', ' Wasthu Widhyawa', ' Muurthikarma']"
History,Sri Lanka Ithihasaya,Nadheesha Sharmali Gunawardhana,"['Anuradhapuraya', ' Pandukabhaya Raja', ' Dheewanampiyathissa Yugaya', ' Mahawanshaya', ' Elara']"
History,Yata giya Ape Urumaya 1,Udheeni Chandrasiri,"['Magadha Rajya', ' Maurya Adhirajya', ' Prag ithihasika yugaya', ' Rawana Raju', ' Rama']"
History,Brahmachari Walisinha Harishchandrage Anuradapura nam u Puujaneeya Nagaraya,Upali Rathnayaka,"['Anuradhapuraya', ' Mahamega udhyanaya', ' Dheewanampiyathissa raju', ' Maha Seemawa', ' Bududhahama']"
History,Widheshiya Aakramana ha Lankawe Wimukthi Satan ,A. M. Karunathilaka,"['Ramage Aakramanaya', ' Wijaya', ' pandukaabaya', ' Murundashiwa', ' Seena Guththika']"
History,Pileethiyas Dhutu Lankawa,Palitha Jayakodi,"['Pileethiyas', ' Lankawe Rajawanshaya', ' Jeewana thathwaya', ' Aagama', ' Charithra Warithra']"
History,Udarata Withthi,P. M. P. Abhayasinha,"['Udarata', ' Dewana Rajasinha', ' Narendrasinha', ' Sangaraja Kathikawatha', ' Mahanuwara']"
History,Abhulabhe Gama,Senewi Epitawaththa,"['Abhulabhe Gama', ' Edahili ha Wishwasa', ' Heen Gowithena', ' Wiwahaya', ' Awamangala charitra']"
History,Mahacharya Wilhelm Gaigar Asirimath Lankawa,Mahindha Pathirana,"['Deshata wartha', ' Lankawe pihitima', ' Nishpadhana', ' Landheesi', ' Ingrisi']"
History,Sinhale Wimukthi Sanana,Sumedha Weerawardhana,"['Wimukthi Satan', ' Ahelepola Maha Adhikaram', ' Uwa wellasse nidhahas satana', ' Kohukubhure raterala', ' Wedhi Janaya']"
History,Neela Maha Yuwaraja Parapura,Hemal Gamage,"['Roohanaya', ' Lambhakarana Raja Pelapatha', ' Gajabha Raju', ' Neela Maha Yoodhaya', ' Neeala Maha Yuwaraja']"
History,19 wana Siyawase Sri Lankawe Jathika Aagamika Aragala,Siri Thilakasiri,"['Aragala', ' Lakminipahane Jathika satana', ' Siloon leeg Satana', ' Sinhala Puwathpath', ' Badhdhegama Wadhaya']"
History,Uwa Wellassa Kendra kotagath Dhesha Wimukthi Satana(1817-1818),Athipujya Nuwaraeliye Chandrajoothi Mahanahimi,"['Wimukthi Satan', ' Udarata', ' Pruthugrisi ha Landhesi', ' Ingrisi', ' Udarata Giwisuma']"
History,Mahawanshaya ha Sri Lankawe Ithihasa Sampradhaya,Mangala Inangasinha,"['Mahawanshaya', ' Bharathaya', ' Sri Lankawa', ' Anuradhapuraya', ' Budhu Dhahama']"
History,Idhuwara Paryeshanathmaka Lekhana Sangrahaya Ithihasaya,"Dhaya Amarasekara, Rohitha Dhasanayaka","['Prag Ithihasika Yugaya', ' Peranima Lekhana', ' Wari Thakshanaya', ' Rajya', ' Rajyathwaya']"
History,Dhilli Sulthan Rajya,W. M. K. Wijethunga,"['Dhilli Sulthan Rajya', ' Islam Dharmaya', ' Muslim Rajya', ' Arabi Akraman', ' Thurki akramana']"
